Scientific Name,AGCP,AW,CB,EMP,GP,HI,MW,NCNE,WMVC,AK,Common Name,Id,Symbol,RankId,AcceptedId,HasSynonyms,HasSubordinateTaxa,HasWildlife,HasWetlandData,HasImages,HasRelatedLinks,HasLegalStatuses,HasNoxiousStatuses,HasDocumentation,HasDistributionData,NumImages,ProfileImageFilename,ImageId,HasInvasiveStatuses,HasCharacteristics,PlantLocationId,HasEthnobotany,HasPollinator,ScientificSort,Active Growth Period,Coppice Potential,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height at 20 Years, Maximum (feet)","Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Vegetative Spread Rate,Nursery Stock Product
Abutilon auritum,,,,,,FACU,,,,,Asian Indian-Mallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon indicum,,,UPL,,,FAC,,,,,Monkeybush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon theophrasti,FACU,UPL,,UPL,UPL,,FACU,FACU,FACU,,Velvetleaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia confusa,,,,,,FACU,,,,,Small Philippine Wattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaena exigua,,,,,,OBL,,,,,Liliwai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha amentacea,FAC,,UPL,,,FACU,,,,,Match-Me-If-You-Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha bisetosa,,,FACW,,,,,,,,Streambank Copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha gracilens,FAC,,,FAC,FAC,,FACU,FACU,,,Slender Three-Seed-Mercury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha poiretii,FACU,,UPL,FACU,FACU,UPL,,FACU,,,Poiret's Copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha rhomboidea,FAC,,,FACU,FACU,,FACU,FACU,FACU,,Common Three-Seed-Mercury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha virginica,FACU,,,FACU,FACU,,FACU,FACU,,,Virginia Three-Seed-Mercury,75335.0,ACVI,0.0,75335.0,False,False,False,False,False,False,False,False,False,False,5.0,acvi_002_thp.jpg,0.0,False,False,0.0,False,False,Acalypha virginica L.,"Spring, Summer, Fall",No,Yes,Red,Yes,Green,Moderate,Porous,Coarse,Red,No,Single Crown,Rapid,,3.0,No,No,,No,No,Erect,,No,No,Yes,,No,Medium,Medium,80.0,,Medium,7.0,5.9,60.0,13.0,6.0,,Intermediate,33.0,Early Summer,No Known Source,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,,Yes
Acanthocereus tetragonus,FAC,,UPL,,FACU,UPL,,,,,Triangle Cactus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthomintha ilicifolia,,FAC,,,,,,,,,San Diego Thorn-Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer circinatum,,FAC,,,,,,FAC,FAC,FAC,Vine Maple,92756.0,ACCI,0.0,92756.0,False,False,False,False,False,False,False,False,False,False,6.0,acci_001_tvp.jpg,0.0,False,False,0.0,False,False,Acer circinatum Pursh,Spring and Summer,No,Yes,Green,Yes,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Moderate,15.0,20.0,No,No,Long,No,Yes,Erect,,Yes,Yes,Yes,,Yes,Low,Medium,200.0,,Medium,7.5,5.5,80.0,24.0,24.0,,Tolerant,-13.0,Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,,No
Acer glabrum,,FAC,,,FAC,,FAC,,FACU,FACU,Rocky Mountain Maple,92774.0,ACGL,0.0,92774.0,False,False,False,False,False,False,False,False,False,False,4.0,acgl_002_thp.jpg,0.0,False,False,0.0,False,False,Acer glabrum Torr.,Spring and Summer,No,Yes,Green,No,Green,Dense,Porous,Coarse,Brown,No,Multiple Stem,Rapid,15.0,30.0,No,No,Moderate,No,Yes,Erect,,Yes,No,Yes,Low,Yes,Medium,Medium,180.0,Medium,Low,7.5,5.8,60.0,9.0,24.0,,Intermediate,-43.0,Late Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,Moderate,Yes
Acer grandidentatum,,FACU,,,FAC,,,,FACU,,Canyon Maple,92794.0,ACGR3,0.0,92794.0,False,False,False,False,False,False,False,False,False,False,8.0,acgr3_001_thp.jpg,0.0,False,False,0.0,False,False,Acer grandidentatum Nutt.,Spring and Summer,No,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Moderate,20.0,38.0,No,No,Short,No,Yes,Erect,,Yes,Yes,Yes,Low,Yes,Low,Medium,100.0,,Medium,8.0,6.0,30.0,16.0,24.0,,Intermediate,-31.0,Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,,No
Acer macrophyllum,,FAC,,,,,,,FACU,,Big-Leaf Maple,92813.0,ACMA3,0.0,92813.0,False,False,False,False,False,False,False,False,False,False,9.0,acma3_001_thp.jpg,0.0,False,False,0.0,False,False,Acer macrophyllum Pursh,Spring and Summer,Yes,Yes,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Single Stem,Rapid,30.0,60.0,No,No,Moderate,No,Yes,Erect,,Yes,Yes,Yes,Medium,Yes,Low,Medium,140.0,,Medium,7.2,4.8,260.0,22.0,24.0,,Intermediate,-14.0,Mid Spring,Contracting Only,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,High,,Yes
Acer negundo,FAC,FACW,,FAC,FAC,,FAC,FAC,FAC,,Ash-Leaf Maple,92814.0,ACNE2,0.0,92814.0,False,False,False,False,False,False,False,False,False,False,22.0,acne2_002_thp.jpg,0.0,False,False,0.0,False,False,Acer negundo L.,Spring and Summer,Yes,Yes,White,No,Green,Dense,Porous,Coarse,Brown,Yes,Multiple Stem,Rapid,35.0,60.0,No,No,Short,No,Yes,Erect,,Yes,Yes,Yes,Medium,Yes,High,Medium,100.0,,Medium,7.8,5.0,75.0,15.0,40.0,Medium,Tolerant,-46.0,Early Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,Slow,Yes
Acer nigrum,UPL,,,FACU,,,FACU,FACU,,,Black Maple,92832.0,ACNI5,0.0,92832.0,False,False,False,False,False,False,False,False,False,False,5.0,acni5_002_thp.jpg,0.0,False,False,0.0,False,False,Acer nigrum Michx. f.,Spring and Summer,No,Yes,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Single Stem,Moderate,28.0,100.0,No,No,Moderate,No,Yes,Erect,,Yes,Yes,Yes,Low,Yes,Medium,Medium,130.0,,Medium,7.3,4.5,60.0,24.0,30.0,,Tolerant,-47.0,Late Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,,Yes
Acer pensylvanicum,FACU,,,FACU,,,FACU,FACU,,,Striped Maple,92842.0,ACPE,0.0,92842.0,False,False,False,False,False,False,False,False,False,False,6.0,acpe_002_tvp.jpg,0.0,False,False,0.0,False,False,Acer pensylvanicum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer platanoides,UPL,UPL,,UPL,UPL,,UPL,UPL,FACU,,Norway Maple,92843.0,ACPL,0.0,92843.0,False,False,False,False,False,False,False,False,False,False,8.0,acpl_001_thp.jpg,0.0,False,False,0.0,False,False,Acer platanoides L.,Spring and Summer,Yes,Yes,Green,No,Green,Dense,Moderate,Coarse,Brown,Yes,Single Stem,Rapid,25.0,50.0,No,No,Moderate,No,Yes,Erect,,No,No,Yes,,Yes,Low,Medium,100.0,Medium,Medium,6.8,4.8,50.0,24.0,30.0,Medium,Intermediate,-28.0,Early Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,No,No,No,No,Slow,Low,,Yes
Acer rubrum,FAC,,,FAC,FAC,,FAC,FAC,FAC,,Red Maple,92846.0,ACRU,0.0,92846.0,False,False,False,False,False,False,False,False,False,False,12.0,acru_002_thp.jpg,0.0,False,False,0.0,False,False,Acer rubrum L.,Spring and Summer,Yes,Yes,Red,Yes,Green,Dense,Porous,Medium,Red,Yes,Single Stem,Rapid,35.0,68.0,No,No,Short,No,Yes,Rounded,Slight,Yes,Yes,Yes,Medium,No,Medium,Medium,80.0,Low,High,7.3,4.7,80.0,25.0,30.0,,Intermediate,-47.0,Early Spring,Routinely Available,High,Spring,Spring,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,,Yes
Acer saccharinum,FAC,FAC,,FACW,FAC,,FACW,FACW,FAC,,Silver Maple,92860.0,ACSA2,0.0,92860.0,False,False,False,False,False,False,False,False,False,False,12.0,acsa2_002_thp.jpg,0.0,False,False,0.0,False,False,Acer saccharinum L.,Spring and Summer,Yes,Yes,Yellow,Yes,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Rapid,45.0,90.0,No,No,Moderate,No,Yes,Rounded,,Yes,Yes,Yes,High,No,Low,Low,120.0,,Medium,7.3,4.0,70.0,20.0,32.0,Low,Intermediate,-47.0,Early Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,,Yes
Acer saccharum,FACU,FACU,,FACU,UPL,,FACU,FACU,FACU,,Sugar Maple,92865.0,ACSA3,0.0,92865.0,False,False,False,False,False,False,False,False,False,False,13.0,acsa3_002_tvp.jpg,0.0,False,False,0.0,False,False,Acer saccharum Marshall,Spring and Summer,No,Yes,Green,No,Green,Dense,Porous,Coarse,Brown,No,Single Stem,Slow,20.0,100.0,Yes,No,Long,No,Yes,Erect,,Yes,No,Yes,,Yes,Medium,Medium,80.0,,Medium,7.9,3.7,80.0,22.0,40.0,,Tolerant,-47.0,Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,High,,No
Acer spicatum,UPL,,,FACU,FACU,,FACU,FACU,,,Mountain Maple,92875.0,ACSP2,0.0,92875.0,False,False,False,False,False,False,False,False,False,False,6.0,acsp2_002_thp.jpg,0.0,False,False,0.0,False,False,Acer spicatum Lam.,Spring and Summer,Yes,Yes,Yellow,No,Green,Dense,Porous,Coarse,Brown,No,Multiple Stem,Moderate,25.0,25.0,No,No,Moderate,No,Yes,Erect,,No,No,Yes,Low,Yes,Low,Medium,100.0,,Medium,7.0,4.8,70.0,30.0,32.0,,Tolerant,-47.0,Spring,No Known Source,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,,Yes
Achillea millefolium,FACU,FACU,,FACU,FACU,UPL,FACU,FACU,FACU,FACU,Common Yarrow,31206.0,ACMI2,0.0,31206.0,False,False,False,False,False,False,False,False,False,False,19.0,acmi2_002_tvp.jpg,0.0,False,False,0.0,False,False,Achillea millefolium L.,Spring,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Moderate,,3.0,No,No,Moderate,No,No,Erect,Slight,No,No,Yes,,No,Medium,Medium,120.0,,Medium,8.0,6.0,60.0,8.0,8.0,Low,Intermediate,-38.0,Early Summer,Routinely Available,Medium,Summer,Summer,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Slow,Low,Slow,Yes
Achillea ptarmica,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,FACU,Pearl Yarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnatherum diegoense,,FACW,,,,,,,,,San Diego Rice Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,,UPL,,,FACU,,FACU,FACU,UPL,,Indian Rice Grass,19939.0,ACHY,0.0,19939.0,False,False,False,False,False,False,False,False,False,False,17.0,achy_001_tvp.jpg,0.0,False,False,0.0,False,False,Achnatherum hymenoides (Roem. &amp; Schult.) Barkworth,"Spring, Summer, Fall",No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,,2.0,No,No,Short,No,No,Erect,,Yes,No,Yes,Medium,Yes,High,Low,110.0,,Low,8.6,6.6,16.0,6.0,18.0,Low,Intolerant,-33.0,Late Spring,Routinely Available,High,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Moderate,High,,No
Achnatherum nelsonii,,FACU,,,UPL,,UPL,,UPL,,Nelson's Rice Grass,19961.0,ACNED,0.0,19961.0,False,False,False,False,False,False,False,False,False,False,2.0,stco3_002_thp.jpg,0.0,False,False,0.0,False,False,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth &amp; Maze) Barkworth,Spring and Summer,No,No,Yellow,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Moderate,,3.0,No,No,Short,No,No,Erect,,No,No,Yes,,No,High,Low,135.0,,Low,8.0,6.8,20.0,6.0,10.0,,Intolerant,-28.0,Early Summer,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,,No
Achnatherum richardsonii,,UPL,,,FACU,,,,UPL,FACU,Richardson's Rice Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achyrachaena mollis,,FAC,,,,,,,FAC,,Blow-Wives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achyranthes aspera,UPL,,UPL,UPL,UPL,FAC,,,,,Devil's-Horsewhip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achyranthes bidentata,,,,,,FACU,,,,,Nui Xi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acisanthera quadrata,,,OBL,,,,,,,,Camasey-de-Charco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acmella iodiscaea,,,OBL,,,,,,,,Maluco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acmella repens,FACW,,,FACW,FACW,,FACW,,,,Opposite-Leaf Spotflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acmispon americanus,FACU,UPL,,FACU,FACU,,FACU,FACU,FACU,,American Deerweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acnistus arborescens,,,FACU,,,,,,,,Hollowheart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acoelorrhaphe wrightii,OBL,,,,,,,,,,Everglades Palm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitum columbianum,,FACW,,,FACW,,,,FACW,,Columbian Monkshood,72438.0,ACCO4,0.0,72438.0,False,False,False,False,False,False,False,False,False,False,10.0,acco4_001_thp.jpg,0.0,False,False,0.0,False,False,Aconitum columbianum Nutt.,Spring and Summer,No,No,Blue,Yes,Green,Moderate,Porous,Medium,Black,No,Single Crown,Moderate,,5.0,No,No,Moderate,No,No,Erect,Moderate,Yes,Yes,Yes,Medium,No,Low,Medium,110.0,,High,7.2,5.4,50.0,12.0,10.0,,Intermediate,-28.0,Early Summer,Routinely Available,Medium,Summer,Summer,No,No,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,,Yes
Aconitum delphiniifolium,,,,,,,,,,FAC,Larkspur-Leaf Monkshood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitum infectum,,FACW,,,,,,,OBL,,Arizona Monkshood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitum noveboracense,,,,,,,FACW,FAC,,,Northern Blue Monkshood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitum reclinatum,,,,FAC,,,,,,,Trailing White Monkshood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitum uncinatum,FAC,,,FAC,,,FAC,FAC,,,Southern Blue Monkshood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconogonon alaskanum,,,,,,,,,,FAC,Alaska Fleeceflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconogonon phytolaccifolium,,FAC,,,,,,,FAC,,Alpine Fleeceflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acorus americanus,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Several-Vein Sweetflag,16268.0,ACAM,0.0,16268.0,False,False,False,False,False,False,False,False,False,False,3.0,acam_001_tvp.jpg,0.0,False,False,0.0,False,False,Acorus americanus (Raf.) Raf.,Spring and Summer,No,No,Yellow,No,Green,Dense,Moderate,Medium,Green,No,Rhizomatous,Moderate,,3.9,No,No,Moderate,No,No,Erect,,No,Yes,Yes,High,No,,Medium,120.0,,High,7.2,5.6,65.0,16.0,10.0,,Intolerant,-38.0,Late Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,No,No,Yes,No,Slow,High,Moderate,No
